endpoint,endpoint_label,n_total,n_events_total,n_tai_pos,n_events_tai_pos,pct_events_tai_pos,n_tai_neg,n_events_tai_neg,pct_events_tai_neg,warning
ep_non_hdl,non-HDL ≥ 130 mg/dL,1053,224,84,19,22.62,969,205,21.16,
ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,1035,156,79,14,17.72,956,142,14.85,
