endpoint,model_set,term,effect_measure,estimator,OR,CI_low,CI_high,ci_includes_null,effect_direction,events_exposed,n_exposed,events_total,E_value_point,E_value_CI,endpoint_label,rare_event_warning,interpretation_caution
Primary: Firth logistic (ep_primary ~ TAI_A + age_c),primary,TAI_A,OR,firth,0.7658349805993099,0.2108528694966625,1.66581638021192,True,lower_odds_in_TAI_positive,,84.0,,1.9376315266883557,1.0,TG/HDL > 3.5,False,CI includes 1.0; E-value for CI is not informative beyond the null-compatible result
ep_ogtt120,secondary,TAI_A,OR,firth,1.265196713498669,0.6251808771056044,2.1802891511462805,True,higher_odds_in_TAI_positive,,79.0,,1.844442784136325,1.0,OGTT 120 min >= 140 mg/dL,False,CI includes 1.0; E-value for CI is not informative beyond the null-compatible result
ep_non_hdl,secondary,TAI_A,OR,firth,1.0912202311240955,0.6116881886188331,1.7630873053904657,True,higher_odds_in_TAI_positive,,84.0,,1.4067219929106645,1.0,non-HDL > 130 mg/dL,False,CI includes 1.0; E-value for CI is not informative beyond the null-compatible result
