term,beta,exp_beta,interpretation,model,n,r_squared,age_centering_mean,source_table,beta_hat,CI_low,CI_high,n_boot_success,outcome,endpoint,model_set,effect_measure,estimator,OR,ci_includes_null,effect_direction,events_exposed,n_exposed,events_total,E_value_point,E_value_CI,endpoint_label,rare_event_warning,interpretation_caution,VIF,note,hl_stat,hl_df,hl_p,hl_groups_used,n_complete_case,prevalence,n_tai_pos,n_tai_neg,events_tai_pos,events_tai_neg,risk_tai_pos,risk_tai_neg,rare_event_warning_tai_pos,rare_event_warning_total,leverage,cooks_d,dfbeta_const,dfbeta_TAI,dfbeta_age,flag_high_leverage,flag_high_cooks,comparison,lr_stat,df_diff,p_value,AIC_linear,AIC_spline
,,,,,,,,TableS10_cohort_integrity_and_events,,,,,,ep_ogtt120,secondary_ogtt120,,,,,,,,156.0,,,,,,,,,,,,1035.0,0.1507246376811594,79.0,956.0,14.0,142.0,0.1772151898734177,0.1485355648535564,False,False,,,,,,,,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0050475199496961,0.0001039156781921,0.0154004615591916,0.0021518975325969,-0.0160374174894689,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0050475199496961,0.0001039156781921,0.0154004615591916,0.0021518975325969,-0.0160374174894689,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0129159680124101,0.0001863157455636,0.0108194023300135,-0.0201268428375691,-0.01085365914683,True,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0050475199496961,0.0001039156781921,0.0154004615591916,0.0021518975325969,-0.0160374174894689,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0050475199496961,0.0277986142404777,-0.2518864306743564,-0.035195944392912,0.2623043363428102,False,True,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0129159680124101,0.0001863157455636,0.0108194023300135,-0.0201268428375691,-0.01085365914683,True,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0050475199496961,0.0001039156781921,0.0154004615591916,0.0021518975325969,-0.0160374174894689,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0050475199496961,0.0001039156781921,0.0154004615591916,0.0021518975325969,-0.0160374174894689,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,0.0168819528608589,-0.1800935917091033,-0.0334022792104176,0.1902388391121438,False,True,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,0.0168819528608589,-0.1800935917091033,-0.0334022792104176,0.1902388391121438,False,True,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,0.0168819528608589,-0.1800935917091033,-0.0334022792104176,0.1902388391121438,False,True,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0121252798370044,0.0001834357578892,0.0081171711365635,-0.0211559439892348,-0.0081428720427884,True,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0121252798370044,0.0001834357578892,0.0081171711365635,-0.0211559439892348,-0.0081428720427884,True,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0121252798370044,0.0001834357578892,0.0081171711365635,-0.0211559439892348,-0.0081428720427884,True,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,0.0168819528608589,-0.1800935917091033,-0.0334022792104176,0.1902388391121438,False,True,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,0.0168819528608589,-0.1800935917091033,-0.0334022792104176,0.1902388391121438,False,True,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0121252798370044,0.0001834357578892,0.0081171711365635,-0.0211559439892348,-0.0081428720427884,True,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0032316661468094,6.963231835276005e-05,0.0115662438796367,0.0021452118524447,-0.0122178073504372,False,False,,,,,,
