term,beta,exp_beta,interpretation,model,n,r_squared,age_centering_mean,source_table,beta_hat,CI_low,CI_high,n_boot_success,outcome,endpoint,model_set,effect_measure,estimator,OR,ci_includes_null,effect_direction,events_exposed,n_exposed,events_total,E_value_point,E_value_CI,endpoint_label,rare_event_warning,interpretation_caution,VIF,note,hl_stat,hl_df,hl_p,hl_groups_used,n_complete_case,prevalence,n_tai_pos,n_tai_neg,events_tai_pos,events_tai_neg,risk_tai_pos,risk_tai_neg,rare_event_warning_tai_pos,rare_event_warning_total,leverage,cooks_d,dfbeta_const,dfbeta_TAI,dfbeta_age,flag_high_leverage,flag_high_cooks,comparison,lr_stat,df_diff,p_value,AIC_linear,AIC_spline
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0117115015506737,0.0001859542852335,0.0051356110354597,-0.0222436990863542,-0.0051518716089292,True,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0117115015506737,0.0001859542852335,0.0051356110354597,-0.0222436990863542,-0.0051518716089292,True,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,0.0094881301628255,-0.1090116113884701,-0.0316362543974193,0.118890134568504,False,True,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,0.0094881301628255,-0.1090116113884701,-0.0316362543974193,0.118890134568504,False,True,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0117115015506737,0.0001859542852335,0.0051356110354597,-0.0222436990863542,-0.0051518716089292,True,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,0.0094881301628255,-0.1090116113884701,-0.0316362543974193,0.118890134568504,False,True,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0117115015506737,0.0001859542852335,0.0051356110354597,-0.0222436990863542,-0.0051518716089292,True,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,0.0094881301628255,-0.1090116113884701,-0.0316362543974193,0.118890134568504,False,True,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0019129250693689,4.3181631584510194e-05,0.0073541412369661,0.0021342449678908,-0.0080205661595354,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0011692565618807,2.768401569174791e-05,0.0027326151949261,0.0021186810388836,-0.0034141902475026,False,False,,,,,,
,,,,,,,,TableS10_influence_primary,,,,,,,,,,,,,,,,,,,,,,"Approximate influence diagnostics from auxiliary standard logit, not Firth-native.",,,,,,,,,,,,,,,0.0117333396255275,0.000195703938918,0.0018514664188641,-0.0233950042713752,-0.0018573286045947,True,False,,,,,,
