term,beta_boot_median,OR_boot_median,CI_low,CI_high,n_boot_success,n_boot_nonconverged,n_boot_failed_or_skipped,beta_hat,OR,model_set,n,events,events_tai_pos,n_tai_pos,events_tai_neg,n_tai_neg,brier_score,auc,converged,optimizer_message,n_iter,optimizer,age_centering_mean,source_table,endpoint,endpoint_label,warning,variant,variant_description,exposure,eligibility_flag,status,trim_applied,trim_var,trim_q_low,trim_q_high,trim_low_value,trim_high_value,n_before_trim,n_after_trim,n_trimmed,effect_measure,estimator,ci_includes_null,effect_direction,events_exposed,n_exposed,events_total,E_value_point,E_value_CI,rare_event_warning,interpretation_caution,reported_estimator,diagnostic_probability_model,prevalence,rare_event_warning_tai_pos,brier,auc_ci_low,auc_ci_high,n_boot_ok,cal_intercept,cal_slope,n_complete_case,risk_tai_pos,risk_tai_neg,rare_event_warning_total
,,,0.6251808771056044,2.1802891511462805,2000.0,1.0,0.0,,1.265196713498669,,1035.0,156.0,14.0,79.0,142.0,956.0,,,True,Converged,7.0,,21.442512077294687,TableS1_sensitivity,ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,,base_TAI_A,Base analysis with TAI definition A,tai_A,analysis_ogtt120_eligible,ok,False,,,,,,1300.0,1300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0860453837603108,1.2762268706289337,2000.0,5.0,0.0,,0.5044001111648557,,1005.0,66.0,2.0,69.0,64.0,936.0,,,True,Converged,8.0,,21.45273631840796,TableS1_sensitivity,ep_primary,Primary endpoint,,euthyroid_TAI_A,Restriction to euthyroid participants,tai_A,analysis_primary_eligible,ok,False,,,,,,1122.0,1122.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.5544233721538079,1.7935979534497963,2000.0,3.0,0.0,,1.0302735782870185,,1005.0,215.0,15.0,69.0,200.0,936.0,,,True,Converged,6.0,,21.45273631840796,TableS1_sensitivity,ep_non_hdl,non-HDL ≥ 130 mg/dL,,euthyroid_TAI_A,Restriction to euthyroid participants,tai_A,analysis_non_hdl_eligible,ok,False,,,,,,1122.0,1122.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.4502908354645595,1.967030984108823,2000.0,5.0,0.0,,1.066736460820935,,987.0,151.0,10.0,64.0,141.0,923.0,,,True,Converged,6.0,,21.45390070921986,TableS1_sensitivity,ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,,euthyroid_TAI_A,Restriction to euthyroid participants,tai_A,analysis_ogtt120_eligible,ok,False,,,,,,1122.0,1122.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.4723971646724354,8.77051344672875,2000.0,7.0,0.0,,2.8657853114785805,,1053.0,70.0,2.0,14.0,68.0,1039.0,,,True,Converged,10.0,,21.44159544159544,TableS1_sensitivity,ep_primary,Primary endpoint,,base_TAI_B,Alternative TAI definition B,tai_B,analysis_primary_eligible,ok,False,,,,,,1300.0,1300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.3589862518658237,4.206869502421892,2000.0,4.0,0.0,,1.5616317763626797,,1053.0,224.0,4.0,14.0,220.0,1039.0,,,True,Converged,8.0,,21.44159544159544,TableS1_sensitivity,ep_non_hdl,non-HDL ≥ 130 mg/dL,,base_TAI_B,Alternative TAI definition B,tai_B,analysis_non_hdl_eligible,ok,False,,,,,,1300.0,1300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.6151153377152566,6.751797314007037,2000.0,4.0,0.0,,2.4434475142468126,,1035.0,156.0,4.0,14.0,152.0,1021.0,,,True,Converged,9.0,,21.442512077294687,TableS1_sensitivity,ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,,base_TAI_B,Alternative TAI definition B,tai_B,analysis_ogtt120_eligible,ok,False,,,,,,1300.0,1300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.3447581105892463,2.904145207425513,2000.0,9.0,0.0,,1.2843328651938888,,1053.0,70.0,4.0,53.0,66.0,1000.0,,,True,Converged,8.0,,21.44159544159544,TableS1_sensitivity,ep_primary,Primary endpoint,,base_TAI_C,Alternative TAI definition C,tai_C,analysis_primary_eligible,ok,False,,,,,,1300.0,1300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.602384552017519,2.2062748753126997,2000.0,3.0,0.0,,1.2325176748951323,,1053.0,224.0,13.0,53.0,211.0,1000.0,,,True,Converged,6.0,,21.44159544159544,TableS1_sensitivity,ep_non_hdl,non-HDL ≥ 130 mg/dL,,base_TAI_C,Alternative TAI definition C,tai_C,analysis_non_hdl_eligible,ok,False,,,,,,1300.0,1300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.3650080319312684,1.9247499995873412,2000.0,6.0,0.0,,0.964699184894292,,1035.0,156.0,7.0,50.0,149.0,985.0,,,True,Converged,7.0,,21.442512077294687,TableS1_sensitivity,ep_ogtt120,OGTT 120' glucose ≥ 140 mg/dL,,base_TAI_C,Alternative TAI definition C,tai_C,analysis_ogtt120_eligible,ok,False,,,,,,1300.0,1300.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
