term,beta,exp_beta,interpretation,model,n,r_squared,age_centering_mean
TAI_A,-0.004089568667348839,0.995918782230858,Multiplicative ratio in TG/HDL for TAI+ vs TAI− after exponentiation,Continuous companion: OLS on log(TG/HDL) ~ TAI_A + age_c,1053,0.00017821055579836376,21.441595441595442
age_c,-0.00468264017872392,0.9953283062880108,Multiplicative ratio in TG/HDL per 1-year increase in centered age after exponentiation,Continuous companion: OLS on log(TG/HDL) ~ TAI_A + age_c,1053,0.00017821055579836376,21.441595441595442
