model_set,endpoint,status,reported_estimator,diagnostic_probability_model,n,events_total,prevalence,rare_event_warning_tai_pos,brier,auc,auc_ci_low,auc_ci_high,n_boot_ok,cal_intercept,cal_slope
primary,ep_primary,ok_aux_logit,firth,standard_logit_auxiliary,1053,70,0.06647673314339982,True,0.061990274691123545,0.5292326696701061,0.4530045998487363,0.6081905385770104,2000,-1.4414243800163902e-13,0.9999999999999454
secondary_non_hdl,ep_non_hdl,ok_aux_logit,firth,standard_logit_auxiliary,1053,224,0.2127255460588794,False,0.16672237118946298,0.5521066689643287,0.5058532335180875,0.5951873066195207,2000,-3.0916655435413214e-14,0.9999999999999762
secondary_ogtt120,ep_ogtt120,ok_aux_logit,firth,standard_logit_auxiliary,1035,156,0.15072463768115943,False,0.12794866377491723,0.5070228406405881,0.4598319999848075,0.5589343744950632,2000,8.556648234273477e-15,1.000000000000005
